step: 1. battery: 30.000000. current location: [2,6]. action: move in direction North
step: 2. battery: 29.000000. current location: [1,6]. action: Stay (clean).
step: 3. battery: 28.000000. current location: [1,6]. action: Stay (clean).
step: 4. battery: 27.000000. current location: [1,6]. action: Stay (clean).
step: 5. battery: 26.000000. current location: [1,6]. action: Stay (clean).
step: 6. battery: 25.000000. current location: [1,6]. action: Stay (clean).
step: 7. battery: 24.000000. current location: [1,6]. action: Stay (clean).
step: 8. battery: 23.000000. current location: [1,6]. action: Stay (clean).
step: 9. battery: 22.000000. current location: [1,6]. action: move in direction East
step: 10. battery: 21.000000. current location: [1,7]. action: move in direction South
step: 11. battery: 20.000000. current location: [2,7]. action: Stay (clean).
